广东省各级人民法院2025年考试录用公务员职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广东省高级人民法院,3990001,横琴粤澳深度合作区人民法院审判业务部门五级法官助理,39900012548001 ,从事审判辅助工作,法院法官助理职位,2,研究生,硕士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,2025届高校毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",珠海
广东省高级人民法院,3990001,横琴粤澳深度合作区人民法院审判业务部门五级法官助理,39900012548002 ,从事涉外、涉港澳台相关审判辅助工作,法院法官助理职位,1,研究生,硕士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,否,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",珠海
广东省高级人民法院,3990001,横琴粤澳深度合作区人民法院综合办公室（司法警察大队）一级科员,39900012549001 ,从事财务工作,法院司法行政职位,1,本科以上,学士以上,"审计硕士（专业硕士）(A020218),会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204),审计学(B120207)",,否,否,,珠海
广东省高级人民法院,3990001,横琴粤澳深度合作区人民法院综合办公室（司法警察大队）一级警员,39900012550001 ,从事押解、看管、值庭、审判秩序维护等司法警务工作,法院司法警察职位,1,本科以上,学士以上,"法学(A0301),公安学(A0306)","法学类(B0301),公安学类(B0306)",,否,2025届高校毕业生,男性;中共党员;需开展心理素质测评,珠海
广州铁路运输法院,3990005,刑事审判庭四级法官助理,39900052548001 ,从事协助法官履行审判职责工作,法院法官助理职位,1,研究生,硕士,"刑法学(A030104),诉讼法学(A030106)",,,否,否,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州铁路运输法院,3990005,综合办公室（司法警察大队）一级警员,39900052550001 ,从事押解、值庭、安全保卫等工作,法院司法警察职位,1,本科,学士,,"警务指挥与战术(B030615),网络安全与执法(B083108)",,否,否,男性;中共党员,广州
广州铁路运输法院,3990005,综合办公室（司法警察大队）一级警员,39900052550002 ,从事押解、值庭、安全保卫等工作,法院司法警察职位,1,本科,学士,,"警务指挥与战术(B030615),网络安全与执法(B083108)",,否,否,女性;中共党员,广州
广州市中级人民法院,3010001,刑事审判庭四级法官助理,30100012548001 ,从事刑事审判辅助工作,法院法官助理职位,1,研究生,硕士,06法律类,,,否,否,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市中级人民法院,3010001,刑事审判庭四级法官助理,30100012548002 ,从事刑事审判辅助工作,法院法官助理职位,1,研究生,硕士,06法律类,,,否,否,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市中级人民法院,3010001,民事审判庭四级法官助理,30100012548003 ,从事民商事审判辅助工作,法院法官助理职位,4,研究生,硕士,06法律类,,,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市中级人民法院,3010001,民事审判庭四级法官助理,30100012548004 ,从事民商事审判辅助工作,法院法官助理职位,4,研究生,硕士,06法律类,,,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市中级人民法院,3010001,司法警察支队四级警长以下,30100012550001 ,从事押解、维护审判秩序、配合实施执行措施、法庭安全保卫等工作,法院司法警察职位,2,本科以上,学士以上,公安学(A0306),公安学类(B0306),,否,否,男性,广州
广州市越秀区人民法院,3010002,知识产权审判庭五级法官助理,30100022548001 ,从事知识产权案件审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,应届毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市越秀区人民法院,3010002,知识产权审判庭五级法官助理,30100022548002 ,从事知识产权案件审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,应届毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市越秀区人民法院,3010002,民事审判二庭（金融审判庭）五级法官助理,30100022548003 ,从事民商事、金融案件审判辅助工作,法院法官助理职位,3,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市越秀区人民法院,3010002,民事审判二庭（金融审判庭）五级法官助理,30100022548004 ,从事民商事、金融案件审判辅助工作,法院法官助理职位,3,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市越秀区人民法院,3010002,执行局五级法官助理,30100022548005 ,从事案件的执行相关工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市海珠区人民法院,3010003,审判部门五级法官助理,30100032548001 ,从事审判辅助性工作,法院法官助理职位,3,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市海珠区人民法院,3010003,审判部门五级法官助理,30100032548002 ,从事审判辅助性工作,法院法官助理职位,3,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市海珠区人民法院,3010003,执行局五级法官助理,30100032548003 ,从事执行辅助性工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市海珠区人民法院,3010003,执行局五级法官助理,30100032548004 ,从事执行辅助性工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市海珠区人民法院,3010003,审判管理办公室（研究室）一级科员,30100032549001 ,从事审判管理工作,法院司法行政职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,否,男性,广州
广州市海珠区人民法院,3010003,审判管理办公室（研究室）一级科员,30100032549002 ,从事审判管理工作,法院司法行政职位,1,本科以上,学士以上,法学(A0301),法学类(B0301),,否,否,女性,广州
广州市海珠区人民法院,3010003,综合办公室一级科员,30100032549003 ,从事财务工作,法院司法行政职位,1,本科以上,学士以上,"会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204),审计学(B120207)",,否,否,,广州
广州市海珠区人民法院,3010003,司法警察大队一级警员,30100032550001 ,从事押解、值庭、安全保卫等工作,法院司法警察职位,2,本科以上,学士以上,"法学(A0301),公安学(A0306)","法学类(B0301),公安学类(B0306)",,否,否,男性,广州
广州市荔湾区人民法院,3010004,审判业务部门五级法官助理,30100042548001 ,从事审判辅助工作,法院法官助理职位,3,本科以上,学士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107)","法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市荔湾区人民法院,3010004,审判业务部门五级法官助理,30100042548002 ,从事审判辅助工作,法院法官助理职位,3,本科以上,学士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),诉讼法学(A030106),经济法学(A030107)","法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市荔湾区人民法院,3010004,审判业务部门五级法官助理,30100042548003 ,从事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,"法学理论(A030101),刑法学(A030104),诉讼法学(A030106)","法学(B030101),知识产权(B030102)",,否,否,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市荔湾区人民法院,3010004,审判业务部门五级法官助理,30100042548004 ,从事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,"法学理论(A030101),刑法学(A030104),诉讼法学(A030106)","法学(B030101),知识产权(B030102)",,否,否,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市荔湾区人民法院,3010004,执行局五级法官助理,30100042548005 ,从事执行辅助工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市荔湾区人民法院,3010004,执行局五级法官助理,30100042548006 ,从事执行辅助工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市荔湾区人民法院,3010004,司法警察大队一级警员,30100042550001 ,从事押解、维护审判秩序、配合实施执行措施等工作,法院司法警察职位,3,本科以上,学士以上,"法学(A0301),公安学(A0306)","法学类(B0301),公安学类(B0306)",,否,否,男性,广州
广州市天河区人民法院,3010005,五级法官助理,30100052548001 ,从事审判辅助工作,法院法官助理职位,2,本科以上,学士、硕士,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市天河区人民法院,3010005,五级法官助理,30100052548002 ,从事审判辅助工作,法院法官助理职位,2,本科以上,学士、硕士,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市天河区人民法院,3010005,五级法官助理,30100052548003 ,从事执行辅助工作,法院法官助理职位,1,本科以上,学士、硕士,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市天河区人民法院,3010005,司法警察大队一级警员,30100052550001 ,从事司法警察工作,法院司法警察职位,1,本科,学士,,公安学类(B0306),,否,否,男性,广州
广州市白云区人民法院,3010006,民事审判一庭五级法官助理,30100062548001 ,从事民商事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,应届毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市白云区人民法院,3010006,民事审判一庭五级法官助理,30100062548002 ,从事民商事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,应届毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市白云区人民法院,3010006,民事审判二庭五级法官助理,30100062548003 ,从事民商事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市白云区人民法院,3010006,民事审判二庭五级法官助理,30100062548004 ,从事民商事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市白云区人民法院,3010006,民事审判三庭五级法官助理,30100062548005 ,从事民商事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市白云区人民法院,3010006,民事审判三庭五级法官助理,30100062548006 ,从事民商事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市白云区人民法院,3010006,综合办公室一级科员,30100062549001 ,从事财务工作,法院司法行政职位,2,本科以上,学士以上,会计学(A120201),会计学(B120203),,否,否,具有会计专业技术资格（中级以上）,广州
