广东省各级人民检察院2025年考试录用公务员职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广东省人民检察院,4990001,横琴粤澳深度合作区人民检察院五级检察官助理,49900012551001 ,从事检察业务辅助工作,检察院检察官助理职位,1,本科,学士,,法学类(B0301),,否,否,通过法律职业资格考试;普通高等院校毕业生（非在职）,珠海
广东省第一地区人民检察院,4990003,办公室（司法警察大队）二级主任科员以下,49900032552001 ,从事文稿写作、宣传等工作,检察院司法行政职位,1,研究生,硕士以上,"语言学及应用语言学(A050102),汉语言文字学(A050103),新闻学(A050301)",,,否,应届毕业生,,广州
广州市人民检察院,4010001,检察业务部门二级检察官助理以下,40100012551001 ,从事检察业务辅助工作,检察院检察官助理职位,2,研究生,硕士以上,"刑法学(A030104),诉讼法学(A030106)",,,否,应届毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市人民检察院,4010001,检察业务部门二级检察官助理以下,40100012551002 ,从事检察业务辅助工作,检察院检察官助理职位,2,研究生,硕士以上,"刑法学(A030104),诉讼法学(A030106)",,,否,应届毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市人民检察院,4010001,检察业务部门二级检察官助理以下,40100012551003 ,从事检察业务辅助工作,检察院检察官助理职位,1,研究生,硕士以上,"刑法学(A030104),诉讼法学(A030106)",,,否,应届毕业生,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市人民检察院,4010001,检察业务部门二级检察官助理以下,40100012551004 ,从事检察业务辅助工作,检察院检察官助理职位,1,研究生,硕士以上,"刑法学(A030104),诉讼法学(A030106)",,,否,应届毕业生,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",广州
广州市人民检察院,4010001,检察业务部门二级检察官助理以下,40100012551005 ,从事检察业务辅助工作,检察院检察官助理职位,1,研究生,硕士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),环境与资源保护法学(A030108)",,,否,应届毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市人民检察院,4010001,检察业务部门二级检察官助理以下,40100012551006 ,从事检察业务辅助工作,检察院检察官助理职位,1,研究生,硕士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),环境与资源保护法学(A030108)",,,否,应届毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市人民检察院,4010001,检察业务部门五级检察官助理,40100012551007 ,从事检察业务辅助工作,检察院检察官助理职位,1,本科,学士,,"法学(B030101),知识产权(B030102)",,否,应届毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市人民检察院,4010001,检察业务部门五级检察官助理,40100012551008 ,从事检察业务辅助工作,检察院检察官助理职位,1,本科,学士,,"法学(B030101),知识产权(B030102)",,否,应届毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
