广东省监狱、戒毒管理机关2025年考试录用公务员（人民警察）职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否开展心理素质测评,是否限应届毕业生报考,其他要求,考区
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554001 ,从事监狱管理和教育改造工作,2,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),司法警务(C030204),社区矫正(C030205),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554002 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,06法律类,06法律类,,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554003 ,从事监狱管理和教育改造工作,2,大专以上,不限,不限,不限,不限,否,否,否,男性;面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554004 ,从事监狱管理和教育改造工作,3,本科以上,学士以上,"信息与通信工程(A0810),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),电子信息(A0840)","计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903),信息安全(B080904)",,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554005 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,"运动训练硕士（专业硕士）(A040306),社会体育指导硕士（专业硕士）(A040308)","运动训练(B040202),社会体育指导与管理(B040203)",,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554006 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,安全科学与工程(A0837),"安全科学与工程类(B0830),消防工程(B083102),安全防范工程(B083104)",,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554007 ,从事监狱管理和教育改造工作,1,本科,学士,,"保密技术(B080914),保密管理(B120106)",,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554008 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,"金融学（含∶保险学）(A020204),金融硕士（专业硕士）(A020212)",金融学类(B0203),,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554009 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,新闻传播学(A0503),新闻传播学类(B0503),,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554010 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,工商管理(A1202),工商管理类(B1202),,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554011 ,从事监狱管理和教育改造工作,1,本科,学士,,电子商务类(B1208),,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554012 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,图书情报与档案管理(A1205),图书情报与档案管理类(B1205),,否,否,否,男性,阳江
广东省监狱管理局,5990001,阳江监狱二级警长以下,59900012554013 ,从事监狱管理和教育改造工作,2,本科,学士,,"电气工程及其自动化(B080601),自动化(B080801)",,否,否,否,男性,阳江
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554014 ,从事监狱管理和教育改造工作,4,大专、本科,不限,,"监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,2025届高校毕业生,男性;司法警官院校毕业生,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554015 ,从事监狱管理和教育改造工作,3,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554016 ,从事监狱管理和教育改造工作,4,本科以上,学士以上,06法律类,06法律类,,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554017 ,从事监狱管理和教育改造工作,4,本科以上,学士以上,06法律类,06法律类,,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554018 ,从事监狱管理和教育改造工作,2,大专以上,不限,不限,不限,不限,否,否,否,男性;面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554019 ,从事监狱管理和教育改造工作,5,本科以上,学士以上,不限,不限,,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554020 ,从事监狱管理和教育改造工作,5,本科以上,学士以上,"社会学(A0303),教育学(A0401)","社会学类(B0303),教育学类(B0401)",,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554021 ,从事监狱管理和教育改造工作,3,本科以上,学士以上,"审计硕士（专业硕士）(A020218),会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204),审计学(B120207)",,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554022 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,"建筑学(A0813),土木工程(A0814),土木工程硕士（专业硕士）(A084401)","建筑类(B0810),土木类(B0811)",,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554023 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,管理科学与工程(A1201),"管理科学与工程类(B1201),物流管理与工程类(B1206)",,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554024 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,图书情报与档案管理(A1205),图书情报与档案管理类(B1205),,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554025 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,经济学(A02),"经济学类(B0201),金融学类(B0203),经济与贸易类(B0204)",,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554026 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,服装设计与工程(A082104),"服装设计与工程(B081702),服装设计与工艺教育(B081704),服装与服饰设计(B130505)",,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554027 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,舞蹈硕士（专业硕士）(A130203),"舞蹈表演(B130204),舞蹈编导(B130206),流行舞蹈(B130211)",,否,否,否,男性,清远
广东省监狱管理局,5990001,英德监狱二级警长以下,59900012554028 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,设计学(A1305),"艺术设计学(B130501),视觉传达设计(B130502),环境设计(B130503),产品设计(B130504)",,否,否,否,男性,清远
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554029 ,从事女性服刑人员管理和教育改造工作,4,大专、本科,不限,,"监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,2025届高校毕业生,女性;司法警官院校毕业生,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554030 ,从事女性服刑人员管理和教育改造工作,4,大专、本科,不限,,"监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,2025届高校毕业生,女性;司法警官院校毕业生,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554031 ,从事女性服刑人员管理和教育改造工作,4,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554032 ,从事女性服刑人员管理和教育改造工作,4,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554033 ,从事女性服刑人员管理和教育改造工作,4,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554034 ,从事女性服刑人员管理和教育改造工作,4,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554035 ,从事女性服刑人员管理和教育改造工作,2,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),司法警务(C030204),社区矫正(C030205),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554036 ,从事女性服刑人员管理和教育改造工作,3,本科以上,学士以上,06法律类,06法律类,,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554037 ,从事女性服刑人员管理和教育改造工作,3,本科以上,学士以上,06法律类,06法律类,,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554038 ,从事女性服刑人员管理和教育改造工作,5,大专以上,不限,不限,不限,不限,否,否,否,女性;面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554039 ,从事女性服刑人员管理和教育改造工作,5,大专以上,不限,不限,不限,不限,否,否,否,女性;面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554040 ,从事女性服刑人员管理和教育改造工作,5,大专以上,不限,不限,不限,不限,否,否,否,女性;面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554041 ,从事女性服刑人员管理和教育改造工作,5,本科以上,学士以上,不限,不限,,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554042 ,从事女性服刑人员管理和教育改造工作,5,本科以上,学士以上,不限,不限,,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554043 ,从事女性服刑人员管理和教育改造工作,5,本科以上,学士以上,"公安学(A0306),公安技术(A0838)","公安学类(B0306),公安技术类(B0831)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554044 ,从事女性服刑人员管理和教育改造工作,5,本科以上,学士以上,"公安学(A0306),公安技术(A0838)","公安学类(B0306),公安技术类(B0831)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554045 ,从事女性服刑人员管理和教育改造工作,2,研究生,硕士以上,"社会学(A0303),教育学(A0401)",,,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554046 ,从事女性服刑人员管理和教育改造工作,4,本科以上,学士以上,"社会学(A0303),教育学(A0401)","社会学类(B0303),教育学类(B0401)",,否,否,否,女性,肇庆
