广东省乡镇机关2025年考试录用公务员职位表,,,,,,,,,,,,,,
"配套
措施","1.广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆等9市新录用乡镇公务员在乡镇机关最低服务年限为5年；
2.汕头、韶关、河源、梅州、汕尾、阳江、湛江、茂名、清远、潮州、揭阳、云浮等12市新录用乡镇公务员在职位所在县（市、区）的乡镇机关最低服务年限为5年。",,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否限应届毕业生报考,其他要求,考区
广州市越秀区人民政府洪桥街道办事处,6010051,党政和人大办公室二级主任科员以下,60100512559001 ,从事财务管理工作,综合管理类职位,1,本科以上,学士以上,"审计硕士（专业硕士）(A020218),会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204),审计学(B120207)",,否,中共党员,广州
广州市越秀区人民政府洪桥街道办事处,6010051,平安法治办公室四级主任科员,60100512559002 ,从事综合治理工作,综合管理类职位,1,研究生,硕士,计算机科学与技术(A0812),,,否,,广州
广州市越秀区人民政府洪桥街道办事处,6010051,综合行政执法队二级主办以下,60100512560001 ,从事基层一线综合行政执法工作,行政执法类职位,1,本科以上,学士以上,建筑学(A0813),建筑类(B0810),,否,,广州
广州市越秀区人民政府北京街道办事处,6010052,党建和组织人事办公室二级主任科员以下,60100522559001 ,从事党务、宣传等工作,综合管理类职位,1,本科以上,学士以上,新闻传播学(A0503),新闻传播学类(B0503),,应届毕业生,中共党员,广州
广州市越秀区人民政府北京街道办事处,6010052,综合行政执法队二级主办以下,60100522560001 ,从事基层一线综合行政执法工作,行政执法类职位,2,本科以上,学士以上,"法学(A0301),土木工程(A0814)","法学类(B0301),土木类(B0811)",,应届毕业生,,广州
广州市越秀区人民政府六榕街道办事处,6010053,党政和人大办公室一级科员,60100532559001 ,从事综合协调、文书等工作,综合管理类职位,1,本科,学士,,"汉语言文学(B050101),汉语言(B050102),新闻传播学类(B0503)",,2025届高校毕业生,中共党员,广州
广州市越秀区人民政府流花街道办事处,6010054,党政和人大办公室一级科员,60100542559001 ,从事党政综合业务工作,综合管理类职位,1,本科,学士,,"电子信息类(B0807),土木类(B0811),环境科学与工程类(B0826)",,应届毕业生,,广州
广州市越秀区人民政府流花街道办事处,6010054,经济发展办公室一级科员,60100542559002 ,从事经济发展工作,综合管理类职位,1,本科,学士,,"经济学类(B0201),金融学类(B0203),经济与贸易类(B0204)",,否,,广州
广州市越秀区人民政府流花街道办事处,6010054,综合行政执法队一级行政执法员,60100542560001 ,从事基层一线综合行政执法工作,行政执法类职位,1,本科,学士,,"法学类(B0301),计算机类(B0809),工商管理类(B1202)",,否,,广州
广州市越秀区人民政府光塔街道办事处,6010055,经济发展办公室四级主任科员,60100552559001 ,从事经济发展工作,综合管理类职位,1,研究生,硕士,"人口、资源与环境经济学(A020106),国民经济学(A020201),区域经济学(A020202),产业经济学(A020205),数量经济学(A020209),精算学(A020211),地理学(A0705),统计学(A0714)",,,否,,广州
广州市越秀区人民政府光塔街道办事处,6010055,城市管理办公室二级主任科员以下,60100552559002 ,从事城市管理工作,综合管理类职位,1,本科以上,学士以上,"计算机科学与技术(A0812),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),项目管理硕士（专业硕士）(A120104)","人工智能(B080717),数据科学与大数据技术(B080910)",,否,,广州
广州市越秀区人民政府光塔街道办事处,6010055,综合行政执法队四级主办,60100552560001 ,从事基层一线综合行政执法工作,行政执法类职位,1,研究生,硕士,"建筑学(A0813),土木工程(A0814)",,,否,,广州
广州市越秀区人民政府人民街道办事处,6010056,公共服务办公室一级科员,60100562559001 ,从事公共服务工作,综合管理类职位,1,本科,学士,,"经济学类(B0201),新闻传播学类(B0503),会计学(B120203),财务管理(B120204)",,应届毕业生,,广州
广州市越秀区人民政府人民街道办事处,6010056,平安法治办公室一级科员,60100562559002 ,从事平安法治工作,综合管理类职位,1,本科,学士,,"法学类(B0301),中国语言文学类(B0501)",,应届毕业生,,广州
广州市越秀区人民政府人民街道办事处,6010056,综合行政执法队一级行政执法员,60100562560001 ,从事基层一线综合行政执法工作,行政执法类职位,1,本科,学士,,"城乡规划(B081002),历史建筑保护工程(B081004),人居环境科学与技术(B081005),城市设计(B081006)",,应届毕业生,,广州
广州市越秀区人民政府东山街道办事处,6010057,综合行政执法队一级行政执法员,60100572560001 ,从事基层一线综合行政执法工作,行政执法类职位,1,本科,学士,,"法学(B030101),汉语言文学(B050101),建筑类(B0810),土木类(B0811),环境科学与工程类(B0826)",,否,男性,广州
广州市越秀区人民政府东山街道办事处,6010057,综合行政执法队一级行政执法员,60100572560002 ,从事基层一线综合行政执法工作,行政执法类职位,1,本科,学士,,"法学(B030101),汉语言文学(B050101),建筑类(B0810),土木类(B0811),环境科学与工程类(B0826)",,否,女性,广州
广州市越秀区人民政府农林街道办事处,6010058,党建和组织人事办公室四级主任科员以下,60100582559001 ,从事辖内党建和组织人事等相关工作,综合管理类职位,1,本科以上,学士、硕士,"应用经济学(A0202),新闻传播学(A0503),统计学(A0714),工商管理(A1202)","财政学类(B0202),汉语言文学(B050101),新闻传播学类(B0503),统计学类(B0711),工商管理类(B1202)",,应届毕业生,中共党员,广州
